Image,Ground_Truth,Predicted,Absolute_Error,Relative_Error_%,Risk_Level,Detection_Method,Scene_Type,Processing_Time_s
IMG_1.jpg,23,62.4,39.4,171.5,WARNING,Blend [Auto],moderate_outdoor,5.83
IMG_10.jpg,181,77,104,57.5,WARNING,Blend [Auto],moderate_outdoor,0.863
IMG_100.jpg,157,68,89,56.7,WARNING,YOLO [Auto],moderate_outdoor,1.131
IMG_101.jpg,37,71,34,91.9,WARNING,Blend [Auto],moderate_outdoor,1.308
IMG_102.jpg,70,74,4,5.7,WARNING,Blend [Auto],moderate_outdoor,1.265
IMG_103.jpg,57,83,26,45.6,WARNING,Blend [Auto],dense_outdoor,1.29
IMG_104.jpg,44,76,32,72.7,WARNING,Blend [Auto],moderate_outdoor,1.216
IMG_105.jpg,227,145,82,36.1,OVERCROWDED,Blend [Auto],dense_outdoor,1.237
IMG_106.jpg,165,115,50,30.3,OVERCROWDED,YOLO [Auto],moderate_outdoor,1.154
IMG_107.jpg,476,242,234,49.2,OVERCROWDED,Blend [Auto],moderate_outdoor,1.197
IMG_108.jpg,139,210,71,51.1,OVERCROWDED,Blend [Auto],moderate_outdoor,1.186
IMG_109.jpg,316,221,95,30.1,OVERCROWDED,Blend [Auto],moderate_outdoor,1.257
IMG_11.jpg,164,216,52,31.7,OVERCROWDED,Blend [Auto],moderate_outdoor,1.214
IMG_110.jpg,110,200,90,81.8,OVERCROWDED,Blend [Auto],moderate_outdoor,1.214
IMG_111.jpg,20,124,104,520.0,OVERCROWDED,Blend [Auto],moderate_indoor,1.281
IMG_112.jpg,131,147,16,12.2,OVERCROWDED,Blend [Auto],moderate_outdoor,1.312
IMG_113.jpg,48,117,69,143.8,OVERCROWDED,Blend [Auto],moderate_outdoor,1.261
IMG_114.jpg,183,143,40,21.9,OVERCROWDED,Blend [Auto],moderate_outdoor,1.213
IMG_115.jpg,101,107,6,5.9,OVERCROWDED,YOLO [Auto],dense_outdoor,1.21
IMG_116.jpg,204,146,58,28.4,OVERCROWDED,Blend [Auto],dense_outdoor,1.242
IMG_117.jpg,40,114,74,185.0,OVERCROWDED,Blend [Auto],moderate_outdoor,1.153
IMG_118.jpg,143,114,29,20.3,OVERCROWDED,Blend [Auto],moderate_outdoor,1.197
IMG_119.jpg,146,110,36,24.7,OVERCROWDED,Blend [Auto],dense_outdoor,1.192
IMG_12.jpg,513,220,293,57.1,OVERCROWDED,Blend [Auto],moderate_outdoor,1.232
IMG_120.jpg,70,183,113,161.4,OVERCROWDED,Blend [Auto],moderate_outdoor,1.222
IMG_121.jpg,175,170,5,2.9,OVERCROWDED,Blend [Auto],moderate_indoor,1.121
IMG_122.jpg,51,150,99,194.1,OVERCROWDED,Blend [Auto],moderate_outdoor,1.186
IMG_123.jpg,55,118,63,114.5,OVERCROWDED,Blend [Auto],moderate_indoor,1.212
IMG_124.jpg,67,92,25,37.3,WARNING,Blend [Auto],moderate_outdoor,1.423
IMG_125.jpg,72,79,7,9.7,WARNING,Blend [Auto],moderate_indoor,1.273
IMG_126.jpg,56,80,24,42.9,WARNING,Blend [Auto],moderate_outdoor,1.273
IMG_127.jpg,165,108,57,34.5,OVERCROWDED,Blend [Auto],dense_outdoor,1.292
IMG_128.jpg,32,108,76,237.5,OVERCROWDED,Blend [Auto],dense_outdoor,1.303
IMG_129.jpg,149,106,43,28.9,OVERCROWDED,Blend [Auto],moderate_outdoor,1.181
IMG_13.jpg,48,122,74,154.2,OVERCROWDED,Blend [Auto],dense_outdoor,1.363
IMG_130.jpg,80,120,40,50.0,OVERCROWDED,Blend [Auto],moderate_outdoor,1.245
IMG_131.jpg,117,84,33,28.2,WARNING,YOLO [Auto],moderate_outdoor,1.19
IMG_132.jpg,162,116,46,28.4,OVERCROWDED,Blend [Auto],moderate_outdoor,1.107
