Frame,Frame_Number,Predicted_Count,Risk_Level,Detection_Method,Scene_Type,Processing_Time_s,FPS_Equivalent
seq_000001.jpg,1,33.5,SAFE,Blend [Auto],moderate_outdoor,7.031,0.1
seq_000016.jpg,2,19,SAFE,Blend [Auto],moderate_outdoor,1.112,0.9
seq_000031.jpg,3,26,SAFE,Blend [Auto],moderate_outdoor,1.103,0.9
seq_000046.jpg,4,24,SAFE,YOLO [Auto],sparse_outdoor,1.053,0.9
seq_000061.jpg,5,20,SAFE,YOLO [Auto],moderate_indoor,0.899,1.1
seq_000076.jpg,6,16,SAFE,YOLO [Auto],sparse_outdoor,0.856,1.2
seq_000091.jpg,7,11,SAFE,YOLO [Auto],moderate_indoor,1.037,1.0
seq_000106.jpg,8,17,SAFE,Blend [Auto],moderate_outdoor,1.111,0.9
seq_000121.jpg,9,22,SAFE,Blend [Auto],moderate_outdoor,0.967,1.0
seq_000136.jpg,10,20,SAFE,YOLO [Auto],moderate_outdoor,0.912,1.1
seq_000151.jpg,11,18,SAFE,YOLO [Auto],moderate_outdoor,0.913,1.1
seq_000166.jpg,12,16,SAFE,YOLO [Auto],moderate_outdoor,1.049,1.0
seq_000181.jpg,13,11,SAFE,YOLO [Auto],moderate_indoor,1.082,0.9
seq_000196.jpg,14,10,SAFE,YOLO [Auto],moderate_outdoor,0.939,1.1
seq_000211.jpg,15,10,SAFE,YOLO [Auto],moderate_outdoor,0.944,1.1
seq_000226.jpg,16,10,SAFE,YOLO [Auto],sparse_outdoor,0.956,1.0
seq_000241.jpg,17,10,SAFE,YOLO [Auto],moderate_outdoor,1.137,0.9
seq_000256.jpg,18,10,SAFE,YOLO [Auto],moderate_indoor,1.202,0.8
seq_000271.jpg,19,16,SAFE,Blend [Auto],moderate_outdoor,1.04,1.0
seq_000286.jpg,20,15,SAFE,YOLO [Auto],sparse_outdoor,0.921,1.1
seq_000301.jpg,21,20,SAFE,Blend [Auto],moderate_outdoor,0.891,1.1
seq_000316.jpg,22,16,SAFE,YOLO [Auto],moderate_indoor,1.074,0.9
seq_000331.jpg,23,14,SAFE,YOLO [Auto],moderate_indoor,1.15,0.9
seq_000346.jpg,24,10,SAFE,YOLO [Auto],moderate_outdoor,0.938,1.1
seq_000361.jpg,25,11,SAFE,YOLO [Auto],moderate_outdoor,0.969,1.0
seq_000376.jpg,26,9,SAFE,YOLO [Auto],moderate_outdoor,0.94,1.1
seq_000391.jpg,27,10,SAFE,YOLO [Auto],moderate_outdoor,0.944,1.1
seq_000406.jpg,28,19,SAFE,Blend [Auto],moderate_outdoor,1.14,0.9
seq_000421.jpg,29,24,SAFE,Blend [Auto],moderate_outdoor,1.05,1.0
seq_000436.jpg,30,30,SAFE,Blend [Auto],moderate_outdoor,0.904,1.1
seq_000451.jpg,31,36,SAFE,Blend [Auto],moderate_outdoor,0.983,1.0
seq_000466.jpg,32,31,SAFE,YOLO [Auto],moderate_outdoor,0.903,1.1
seq_000481.jpg,33,31,SAFE,Blend [Auto],moderate_outdoor,1.061,0.9
seq_000496.jpg,34,25,SAFE,YOLO [Auto],moderate_outdoor,1.093,0.9
seq_000511.jpg,35,19,SAFE,YOLO [Auto],moderate_outdoor,0.952,1.1
seq_000526.jpg,36,15,SAFE,YOLO [Auto],moderate_outdoor,1.015,1.0
seq_000541.jpg,37,20,SAFE,Blend [Auto],moderate_outdoor,1.018,1.0
seq_000556.jpg,38,15,SAFE,YOLO [Auto],sparse_outdoor,1.126,0.9
seq_000571.jpg,39,13,SAFE,YOLO [Auto],sparse_outdoor,0.927,1.1
