[2026-04-08 02:34:37] OVERCROWDED | People: 17 | Density: 0.131 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-08 02:34:49] OVERCROWDED | People: 17 | Density: 0.131 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-08 08:30:42] WARNING | People: 24 | Density: 0.1849 | Crowd density is getting high. Monitor closely.
[2026-04-08 08:31:05] WARNING | People: 24 | Density: 10.4167 | Crowd density is getting high. Monitor closely.
[2026-04-08 08:31:07] WARNING | People: 25 | Density: 10.8507 | Crowd density is getting high. Monitor closely.
[2026-04-08 08:31:09] WARNING | People: 25 | Density: 10.8507 | Crowd density is getting high. Monitor closely.
[2026-04-08 08:34:28] WARNING | People: 21 | Density: 0.3013 | Crowd density is getting high. Monitor closely.
[2026-04-08 08:37:24] WARNING | People: 21 | Density: 0.3013 | Crowd density is getting high. Monitor closely.
[2026-04-08 08:37:31] WARNING | People: 20 | Density: 0.287 | Crowd density is getting high. Monitor closely.
[2026-04-08 08:43:27] WARNING | People: 22 | Density: 9.5486 | Crowd density is getting high. Monitor closely.
[2026-04-08 08:43:28] WARNING | People: 24 | Density: 10.4167 | Crowd density is getting high. Monitor closely.
[2026-04-08 08:43:30] WARNING | People: 24 | Density: 10.4167 | Crowd density is getting high. Monitor closely.
[2026-04-08 08:58:57] WARNING | People: 21 | Density: 0.3013 | Crowd density is getting high. Monitor closely.
[2026-04-10 23:51:40] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-10 23:51:52] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-10 23:52:02] WARNING | People: 473 | Density: 178.2167 | Crowd density is getting high. Monitor closely.
[2026-04-10 23:52:36] WARNING | People: 473 | Density: 178.2167 | Crowd density is getting high. Monitor closely.
[2026-04-10 23:52:41] WARNING | People: 473 | Density: 178.2167 | Crowd density is getting high. Monitor closely.
[2026-04-10 23:52:44] WARNING | People: 473 | Density: 178.2167 | Crowd density is getting high. Monitor closely.
[2026-04-10 23:52:56] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-10 23:53:56] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-10 23:55:30] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 00:07:19] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 00:08:05] OVERCROWDED | People: 473 | Density: 178.2167 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 00:08:23] OVERCROWDED | People: 473 | Density: 178.2167 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 00:08:35] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 00:09:44] OVERCROWDED | People: 473 | Density: 178.2167 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 00:17:41] OVERCROWDED | People: 473 | Density: 178.2167 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 00:33:46] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 00:34:02] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 00:34:09] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 00:34:34] OVERCROWDED | People: 1606 | Density: 615.148 | ALERT: OVERCROWDED — Immediate action required.
[2026-04-11 11:41:47] WARNING | People: 16 | Density: 0.077 | Crowd density is getting high. Monitor closely.
